"layer_from","layer_to","weight"
"Gomera","Fuerteventura",0.846852661022826
"GranCanaria","Fuerteventura",0.894390241787489
"Hierro","Fuerteventura",0.834515141041825
"TenerifeSouth","Fuerteventura",0.86588315293041
"TenerifeTeno","Fuerteventura",0.854285428133962
"WesternSahara","Fuerteventura",0.860990451384097
"Fuerteventura","Gomera",0.846852661022826
"GranCanaria","Gomera",0.890714569636423
"Hierro","Gomera",0.96299391606049
"TenerifeSouth","Gomera",0.95043834059757
"TenerifeTeno","Gomera",1
"WesternSahara","Gomera",0.844602368427358
"Fuerteventura","GranCanaria",0.894390241787489
"Gomera","GranCanaria",0.890714569636423
"Hierro","GranCanaria",0.868329291910349
"TenerifeSouth","GranCanaria",0.932109694280795
"TenerifeTeno","GranCanaria",0.901156001087975
"WesternSahara","GranCanaria",0.87645361381956
"Fuerteventura","Hierro",0.834515141041825
"Gomera","Hierro",0.96299391606049
"GranCanaria","Hierro",0.868329291910349
"TenerifeSouth","Hierro",0.901628286948602
"TenerifeTeno","Hierro",0.92375797722717
"WesternSahara","Hierro",0.837149498987334
"Fuerteventura","TenerifeSouth",0.86588315293041
"Gomera","TenerifeSouth",0.95043834059757
"GranCanaria","TenerifeSouth",0.932109694280795
"Hierro","TenerifeSouth",0.901628286948602
"TenerifeTeno","TenerifeSouth",0.992191767955393
"WesternSahara","TenerifeSouth",0.853824028541735
"Fuerteventura","TenerifeTeno",0.854285428133962
"Gomera","TenerifeTeno",1
"GranCanaria","TenerifeTeno",0.901156001087975
"Hierro","TenerifeTeno",0.92375797722717
"TenerifeSouth","TenerifeTeno",0.992191767955393
"WesternSahara","TenerifeTeno",0.844756442661504
"Fuerteventura","WesternSahara",0.860990451384097
"Gomera","WesternSahara",0.844602368427358
"GranCanaria","WesternSahara",0.87645361381956
"Hierro","WesternSahara",0.837149498987334
"TenerifeSouth","WesternSahara",0.853824028541735
"TenerifeTeno","WesternSahara",0.844756442661504
